2020_Passenger_Rank, Airport_Name , City_Name , State_Name , Average_Fare , Sample_Size 
1,Los Angeles International,Los Angeles,CA,246.23,513309
2,Hartsfield-Jackson Atlanta International,Atlanta,GA,253.12,415199
3,Denver International,Denver,CO,230.59,412135
4,Chicago O'Hare International,Chicago-O'Hare,IL,243.53,401710
5,Dallas/Fort Worth International,Dallas-DFW,TX,273.12,351090
6,Seattle/Tacoma International,Seattle,WA,256.22,341746
7,Phoenix Sky Harbor International,Phoenix,AZ,246.15,327847
8,Newark Liberty International,Newark,NJ,238.21,323775
9,Logan International,Boston,MA,243.31,299313
10,Orlando International,Orlando,FL,184.78,295129
11,San Francisco International,San Francisco,CA,302.27,272547
12,Minneapolis-St Paul International,Minneapolis,MN,274.51,269224
13,McCarran International,Las Vegas,NV,196.27,261385
14,Detroit Metro Wayne County,Detroit,MI,294.17,239174
15,John F. Kennedy International,New York-JFK,NY,263.79,234195
16,Philadelphia International,Philadelphia,PA,237.89,228995
17,Fort Lauderdale-Hollywood International,Fort Lauderdale,FL,187.89,226114
18,San Diego International,San Diego,CA,270.39,219097
19,LaGuardia,New York-La Guardia,NY,234.4,215491
20,George Bush Intercontinental/Houston,Houston-Intercontinental,TX,286.07,211888
21,Baltimore/Washington International Thurgood Marshall,Baltimore,MD,237.39,195493
22,Tampa International,Tampa,FL,226.18,193783
23,Portland International,Portland,OR,291.84,179324
24,Salt Lake City International,Salt Lake City,UT,314.42,173967
25,Miami International,Miami,FL,224.43,171726
26,Ronald Reagan Washington National,Washington-Reagan National,DC,282.17,168476
27,Austin - Bergstrom International,Austin,TX,266.01,155520
28,Charlotte Douglas International,Charlotte,NC,279.76,155403
29,Nashville International,Nashville,TN,248.95,150927
30,Sacramento International,Sacramento,CA,272.15,149596
31,Chicago Midway International,Chicago-Midway,IL,208.1,135524
32,St Louis Lambert International,St. Louis,MO,279.59,128756
33,Raleigh-Durham International,Raleigh/Durham,NC,253.87,126266
34,Kansas City International,Kansas City,MO,295.17,118305
35,Indianapolis International,Indianapolis,IN,269.97,117586
36,Dallas Love Field,Dallas-Love Field,TX,218.9,117445
37,Louis Armstrong New Orleans International,New Orleans,LA,231.74,112608
38,Norman Y. Mineta San Jose International,San Jose,CA,248.33,112269
39,Daniel K Inouye International,Honolulu,HI,291.19,108750
40,Cleveland-Hopkins International,Cleveland,OH,232.68,108010
41,William P Hobby,Houston-Hobby,TX,236.3,105565
42,Pittsburgh International,Pittsburgh,PA,265.87,102705
43,Cincinnati/Northern Kentucky International,Cincinnati,OH,248.4,102511
44,Metropolitan Oakland International,Oakland,CA,219.32,102450
45,Luis Munoz Marin International,San Juan,PR,177.31,100845
46,San Antonio International,San Antonio,TX,292.4,97321
47,Washington Dulles International,Washington-Dulles,DC,326.23,96193
48,John Wayne Airport-Orange County,Santa Ana,CA,272.85,94229
49,John Glenn Columbus International,Columbus,OH,278.96,92756
50,Southwest Florida International,Fort Myers,FL,233.28,91522
51,General Mitchell International,Milwaukee,WI,293.78,77311
52,Ontario International,Ontario,CA,260.48,72559
53,Bradley International,Hartford,CT,258.38,71669
54,Jacksonville International,Jacksonville,FL,292.78,70634
55,Palm Beach International,West Palm Beach/Palm Beach,FL,258.1,65326
56,Eppley Airfield,Omaha,NE,295.22,59973
57,Memphis International,Memphis,TN,281.29,57795
58,Bob Hope,Burbank,CA,229.94,56111
59,Gerald R. Ford International,Grand Rapids,MI,279.47,55148
60,Boise Air Terminal,Boise,ID,277.55,52835
61,Will Rogers World,Oklahoma City,OK,302.75,52642
62,Norfolk International,Norfolk,VA,308.59,51908
63,Richmond International,Richmond,VA,268.52,50731
64,Spokane International,Spokane,WA,283.24,50375
